raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
347,2010,153,5,0.0,15,15.0,Jaime Alguersuari,Toro Rosso,0,1.0
347,2010,24,10,0.0,21,16.0,Vitantonio Liuzzi,Force India,0,1.0
347,2010,16,10,0.0,19,17.0,Adrian Sutil,Force India,0,0.0
347,2010,10,166,0.0,23,18.0,Timo Glock,Virgin,0,0.0
347,2010,811,164,0.0,20,19.0,Bruno Senna,HRT,0,1.0
347,2010,5,205,0.0,18,,Heikki Kovalainen,Lotus,0,0.0
347,2010,810,166,0.0,24,,Lucas di Grassi,Virgin,0,1.0
347,2010,29,164,0.0,22,,Sakon Yamamoto,HRT,0,0.0
347,2010,15,205,0.0,17,,Jarno Trulli,Lotus,0,1.0
347,2010,67,5,0.0,16,,Sébastien Buemi,Toro Rosso,0,0.0
348,2010,17,9,25.0,2,1.0,Mark Webber,Red Bull,18,1.0
348,2010,4,6,18.0,3,2.0,Fernando Alonso,Ferrari,15,1.0
348,2010,20,9,15.0,1,3.0,Sebastian Vettel,Red Bull,25,0.0
348,2010,13,6,12.0,4,4.0,Felipe Massa,Ferrari,12,0.0
348,2010,808,4,10.0,7,5.0,Vitaly Petrov,Renault,6,1.0
348,2010,807,3,8.0,10,6.0,Nico Hülkenberg,Williams,1,1.0
348,2010,37,15,6.0,9,7.0,Pedro de la Rosa,Sauber,2,1.0
348,2010,18,1,4.0,11,8.0,Jenson Button,McLaren,0,1.0
348,2010,155,15,2.0,23,9.0,Kamui Kobayashi,Sauber,0,0.0
348,2010,22,3,1.0,12,10.0,Rubens Barrichello,Williams,0,0.0
348,2010,30,131,0.0,14,11.0,Michael Schumacher,Mercedes,0,1.0
348,2010,67,5,0.0,15,12.0,Sébastien Buemi,Toro Rosso,0,0.0
348,2010,24,10,0.0,16,13.0,Vitantonio Liuzzi,Force India,0,1.0
348,2010,5,205,0.0,19,14.0,Heikki Kovalainen,Lotus,0,1.0
348,2010,15,205,0.0,20,15.0,Jarno Trulli,Lotus,0,0.0
348,2010,10,166,0.0,18,16.0,Timo Glock,Virgin,0,1.0
348,2010,811,164,0.0,22,17.0,Bruno Senna,HRT,0,1.0
348,2010,810,166,0.0,21,18.0,Lucas di Grassi,Virgin,0,0.0
348,2010,29,164,0.0,24,19.0,Sakon Yamamoto,HRT,0,0.0
348,2010,1,1,0.0,5,,Lewis Hamilton,McLaren,10,0.0
348,2010,9,4,0.0,8,,Robert Kubica,Renault,4,0.0
348,2010,3,131,0.0,6,,Nico Rosberg,Mercedes,8,0.0
348,2010,16,10,0.0,13,,Adrian Sutil,Force India,0,0.0
348,2010,153,5,0.0,17,,Jaime Alguersuari,Toro Rosso,0,1.0
